mech,mech,mech,mech,mech
USAPhO 2019 A2,3,2,2,"Green Revolution: Investigating a simple thermodynamic model for the conversion of solar
energy into wind."
APhO 2012 T3,4,3,3,-
Physics Cup 2018 P5,4,5,4,-
APhO 2010 T3,4,3,4,-
IPhO 1989 T1,2,2,3,-
NBPhO 2014 T9,4,3,3,-
-,-,-,-,-
waves,waves,waves,waves,waves
Problem Name,Rating,Difficulty,Length,Description
USAPhO 2018 B2,1,1,1,Telescope Mirror: Using the Uncertainty Principle to Estimate Size of Telescope to Observe Distant Stars
INPhO 2020 P4,3,2,2,Source in Circular Motion: A lovely problem requiring detective-like casework on the various possibilities of the position of wave detectors
NBPhO 2012 P1,3,2,2,-
IPhO 1995 T2,3,3,3,-
IPhO 2015 T2(b),4,3,2,-
Physics Cup 2012 P0,2,3,2,-
NBPhO 2019 P5,3,2,2,-
EuPhO 2020 T3,4,4,3,-
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
-,-,-,-,-
modern,modern,modern,modern,modern
Problem Name,Rating,Difficulty,Length,Description
USAPhO 2017 A4,2,1,1,Relativistic Collision: Introduces a clever technique to model the collision between two subatomic praticles at relativistic speeds and also talks briefly about Cosmic Microwave Background Radiation
INPhO 2020 P3,2,1,2,Two-Electron Bohr Model: Creating a new Bohr Model for a two-electron system revolving around a nucleus
Physics Cup 2012 P9,3,3,3,Particle Collisions: A problem on an electron that is given electrical power to collide with a positron to produce gamma rays.
